"id","tax_group_id:id","account_id:id","refund_account_id:id",ded_account_id:id,ded_refund_account_id:id,chart_template_id:id
"l10n_br_coa_generic.account_tax_group_account_template_icms","l10n_br_coa.tax_group_icms","l10n_br_coa_generic.coa_reobote_211501003",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_ipi","l10n_br_coa.tax_group_ipi","l10n_br_coa_generic.coa_reobote_211501002",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_pis","l10n_br_coa.tax_group_pis","l10n_br_coa_generic.coa_reobote_211501007",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_confins","l10n_br_coa.tax_group_cofins","l10n_br_coa_generic.coa_reobote_211501008",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_csll","l10n_br_coa.tax_group_csll","l10n_br_coa_generic.coa_reobote_211501015",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_irpj","l10n_br_coa.tax_group_irpj","l10n_br_coa_generic.coa_reobote_211501014",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_ii","l10n_br_coa.tax_group_ii",,,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_pis_wh","l10n_br_coa.tax_group_pis_wh","l10n_br_coa_generic.coa_reobote_212001011",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_confins_wh","l10n_br_coa.tax_group_cofins_wh","l10n_br_coa_generic.coa_reobote_212001011",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_issqn_wh","l10n_br_coa.tax_group_issqn_wh","l10n_br_coa_generic.coa_reobote_212001009",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_csll_wh","l10n_br_coa.tax_group_csll_wh","l10n_br_coa_generic.coa_reobote_212001011",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_irpj_wh","l10n_br_coa.tax_group_irpj_wh","l10n_br_coa_generic.coa_reobote_211501014",,,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_inss_wh","l10n_br_coa.tax_group_inss_wh","l10n_br_coa_generic.coa_reobote_212001010",,,,l10n_br_coa_generic_template
