Grupo Imposto ID;Grupo Imposto Nome;Tipo Conta;Conta ID;Conta Codigo;Conta Nome;Conta Nota;Tipo da Conta Contabil;Reconcilia;Template ID
l10n_br_coa_generic.account_tax_group_account_template_icms;l10n_br_coa.tax_group_icms;account_id;coa_generic_217103;2.1.7.1.03;ICMS a Recolher;;liability_current;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_icms;l10n_br_coa.tax_group_icms;refund_account_id;coa_generic_114102;1.1.4.1.02;ICMS a Compensar;;asset_current;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_icms;l10n_br_coa.tax_group_icms;ded_account_id;coa_generic_611203;6.1.1.2.03;ICMS s/ Vendas;;income_other;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_icms;l10n_br_coa.tax_group_icms;ded_refund_account_id;coa_generic_611223;6.1.1.2.23;(-)  ICMS Devolução;;income_other;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_ipi;l10n_br_coa.tax_group_ipi;account_id;coa_generic_217102;2.1.7.1.02;IPI a Recolher;;liability_current;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_ipi;l10n_br_coa.tax_group_ipi;refund_account_id;coa_generic_114101;1.1.4.1.01;IPI a Compensar;;asset_current;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_ipi;l10n_br_coa.tax_group_ipi;ded_account_id;coa_generic_611208;6.1.1.2.08;IPI s/ Vendas;;income_other;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_ipi;l10n_br_coa.tax_group_ipi;ded_refund_account_id;coa_generic_611228;6.1.1.2.28;(-)  IPI Devolução;;income_other;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_pis;l10n_br_coa.tax_group_pis;account_id;coa_generic_217105;2.1.7.1.05;PIS a Recolher;;liability_current;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_pis;l10n_br_coa.tax_group_pis;refund_account_id;coa_generic_114105;1.1.4.1.05;PIS a Compensar;;asset_current;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_pis;l10n_br_coa.tax_group_pis;ded_account_id;coa_generic_611206;6.1.1.2.06;PIS s/ Vendas;;income_other;0;l10n_br_coa_generic_template
l10n_br_coa_generic.account_tax_group_account_template_pis;l10n_br_coa.tax_group_pis;ded_refund_account_id;coa_generic_611226;6.1.1.2.26;(-)  PIS Devolução;;income_other;0;l10n_br_coa_generic_template
